id,starting_pos,player_a,player_b,time_a,time_b,result
2380,38518,Ascendant,Whisper,60000,60000,-1
2381,38517,Whisper,Ascendant,60000,60000,-1
2382,38544,Ascendant,Whisper,60000,60000,1
2383,38597,Whisper,Ascendant,60000,60000,-1
2384,38781,Ascendant,Whisper,60000,60000,-1
2385,38598,Whisper,Ascendant,60000,60000,1
2386,38782,Ascendant,Whisper,60000,60000,1
2387,38781,Whisper,Ascendant,60000,60000,-1
2388,38783,Ascendant,Whisper,60000,60000,-1
2389,38782,Whisper,Ascendant,60000,60000,1
2390,38786,Ascendant,Whisper,60000,60000,-1
2391,38783,Whisper,Ascendant,60000,60000,-1
2392,38788,Ascendant,Whisper,60000,60000,1
2393,38786,Whisper,Ascendant,60000,60000,-1
2394,38791,Ascendant,Whisper,60000,60000,-1
2395,38788,Whisper,Ascendant,60000,60000,1
2396,38792,Ascendant,Whisper,60000,60000,-1
2397,38791,Whisper,Ascendant,60000,60000,-1
2398,38793,Ascendant,Whisper,60000,60000,1
2399,38792,Whisper,Ascendant,60000,60000,-1
2400,38881,Ascendant,Whisper,60000,60000,1
2401,38793,Whisper,Ascendant,60000,60000,1
2402,38882,Ascendant,Whisper,60000,60000,1
2403,38881,Whisper,Ascendant,60000,60000,1
2404,38883,Ascendant,Whisper,60000,60000,1
2405,38882,Whisper,Ascendant,60000,60000,-1
2406,38886,Ascendant,Whisper,60000,60000,1
2407,38883,Whisper,Ascendant,60000,60000,1
2408,38888,Ascendant,Whisper,60000,60000,-1
2409,38886,Whisper,Ascendant,60000,60000,1
2410,38891,Ascendant,Whisper,60000,60000,1
2411,38888,Whisper,Ascendant,60000,60000,-1
2412,38892,Ascendant,Whisper,60000,60000,1
2413,38891,Whisper,Ascendant,60000,60000,1
2414,38893,Ascendant,Whisper,60000,60000,-1
2415,120288,Whisper,Ascendant,60000,60000,-1
2416,25683,Ascendant,Whisper,60000,60000,1
2417,22637,Whisper,Ascendant,60000,60000,-1
2418,25686,Ascendant,Whisper,60000,60000,-1
2419,25686,Whisper,Ascendant,60000,60000,1
2420,25687,Ascendant,Whisper,60000,60000,1
2421,25687,Whisper,Ascendant,60000,60000,1
2422,25688,Ascendant,Whisper,60000,60000,1
2423,25688,Whisper,Ascendant,60000,60000,1
2424,25692,Ascendant,Whisper,60000,60000,1
2425,25692,Whisper,Ascendant,60000,60000,1
2426,25693,Ascendant,Whisper,60000,60000,1
2427,25693,Whisper,Ascendant,60000,60000,1
2428,25706,Ascendant,Whisper,60000,60000,1
2429,25706,Whisper,Ascendant,60000,60000,1
2430,25707,Ascendant,Whisper,60000,60000,-1
2431,25707,Whisper,Ascendant,60000,60000,-1
2432,25708,Ascendant,Whisper,60000,60000,3
2433,25708,Whisper,Ascendant,60000,60000,1
2434,25711,Ascendant,Whisper,60000,60000,-1
2435,25711,Whisper,Ascendant,60000,60000,-1
2436,25712,Ascendant,Whisper,60000,60000,1
2437,25712,Whisper,Ascendant,60000,60000,1
2438,25713,Ascendant,Whisper,60000,60000,1
2439,25713,Whisper,Ascendant,60000,60000,1
2440,25717,Ascendant,Whisper,60000,60000,-1
2441,25717,Whisper,Ascendant,60000,60000,-1
2442,25718,Ascendant,Whisper,60000,60000,-1
2443,25718,Whisper,Ascendant,60000,60000,-1
2444,29610,Ascendant,Whisper,60000,60000,-3
2445,29619,Whisper,Ascendant,60000,60000,-1
2446,29614,Ascendant,Whisper,60000,60000,-1
2447,29621,Whisper,Ascendant,60000,60000,-1
2448,29615,Ascendant,Whisper,60000,60000,-1
2449,29623,Whisper,Ascendant,60000,60000,1
2450,29619,Ascendant,Whisper,60000,60000,-1
2451,29639,Whisper,Ascendant,60000,60000,1
2452,29621,Ascendant,Whisper,60000,60000,-1
2453,29640,Whisper,Ascendant,60000,60000,1
2454,29623,Ascendant,Whisper,60000,60000,1
2455,29644,Whisper,Ascendant,60000,60000,1
2456,29639,Ascendant,Whisper,60000,60000,1
2457,29646,Whisper,Ascendant,60000,60000,1
2458,29640,Ascendant,Whisper,60000,60000,1
2459,29648,Whisper,Ascendant,60000,60000,1
2460,29644,Ascendant,Whisper,60000,60000,1
2461,29740,Whisper,Ascendant,60000,60000,-1
2462,2370,Ascendant,Whisper,60000,60000,-1
2463,4224,Whisper,Ascendant,60000,60000,-1
2464,2374,Ascendant,Whisper,60000,60000,1
2465,4481,Whisper,Ascendant,60000,60000,1
2466,2396,Ascendant,Whisper,60000,60000,-1
2467,4483,Whisper,Ascendant,60000,60000,-1
2468,2397,Ascendant,Whisper,60000,60000,-1
2469,4486,Whisper,Ascendant,60000,60000,-1
2470,2398,Ascendant,Whisper,60000,60000,-1
2471,4487,Whisper,Ascendant,60000,60000,-1
2472,2424,Ascendant,Whisper,60000,60000,-1
2473,4488,Whisper,Ascendant,60000,60000,1
2474,2449,Ascendant,Whisper,60000,60000,-1
2475,4491,Whisper,Ascendant,60000,60000,1
2476,2474,Ascendant,Whisper,60000,60000,-1
2477,4492,Whisper,Ascendant,60000,60000,1
2478,3024,Ascendant,Whisper,60000,60000,-1
2479,4493,Whisper,Ascendant,60000,60000,1
2480,3857,Ascendant,Whisper,60000,60000,-1
2481,4545,Whisper,Ascendant,60000,60000,-1
2482,3858,Ascendant,Whisper,60000,60000,1
2483,4549,Whisper,Ascendant,60000,60000,-1
2484,3861,Ascendant,Whisper,60000,60000,1
2485,4595,Whisper,Ascendant,60000,60000,1
2486,3862,Ascendant,Whisper,60000,60000,-1
2487,4599,Whisper,Ascendant,60000,60000,1
2488,3863,Ascendant,Whisper,60000,60000,1
2489,4670,Whisper,Ascendant,60000,60000,1
2490,3866,Ascendant,Whisper,60000,60000,1
2491,4674,Whisper,Ascendant,60000,60000,1
2492,3867,Ascendant,Whisper,60000,60000,1
2493,4695,Whisper,Ascendant,60000,60000,-1
2494,3868,Ascendant,Whisper,60000,60000,1
2495,4699,Whisper,Ascendant,60000,60000,1
2496,3949,Ascendant,Whisper,60000,60000,-1
2497,4720,Whisper,Ascendant,60000,60000,1
2498,3974,Ascendant,Whisper,60000,60000,1
2499,4724,Whisper,Ascendant,60000,60000,-1
2500,4074,Ascendant,Whisper,60000,60000,-1
